casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Masculino,5968,Luis Felipe Belmonte dos Santos,Luis Felipe Belmonte,NA,NA
senado,Masculino,5567,Luis Augusto Mitoso Junior,Luis Mitoso,PSD,NA
senado,Masculino,3643,Luiz Carlos João,Luiz Carlos,PT,NA
senado,Masculino,2038,Luiz de Souza Cavalcante,Luiz Cavalcante,NA,NA
senado,Masculino,943,Luiz Estevão de Oliveira Neto,Luiz Estevão,NA,NA
senado,Masculino,2027,Luiz Fernando de Oliveira Freire,Luiz Fernando Freire,NA,NA
senado,Masculino,127,Luiz Prata Girão,Luiz Girão,PSDB,NA
senado,Masculino,3581,Luiz Guaritá Neto,Luiz Guaritá,NA,NA
senado,Masculino,5002,Luiz Henrique da Silveira,Luiz Henrique,MDB,NA
senado,Masculino,3582,Luiz Márcio Haddad Pereira Santos,Luiz Márcio,NA,NA
senado,Masculino,947,Luiz Otavio Oliveira Campos,Luiz Otavio,MDB,NA
senado,Masculino,151,Luiz Osvaldo Pastore,Luiz Pastore,MDB,NA
senado,Masculino,1022,Luiz Alberto Vidal Pontes,Luiz Pontes,PSDB,NA
senado,Masculino,1043,Luiz Antonio Vitório Soares,Luiz Soares,S/Partido,NA
senado,Masculino,174,Luiz Tirello,Luiz Tirello,NA,NA
senado,Masculino,3647,Luiz Tolentino,Luiz Tolentino,NA,NA
senado,Masculino,2048,Luiz Viana Filho,Luiz Viana,NA,NA
senado,Masculino,2041,Luiz de Gonzaga Barros,Luiz de Barros,NA,NA
senado,Masculino,5585,Luiz Carlos do Carmo,Luiz do Carmo,MDB,GO
senado,Feminino,182,Luiza Maria da Silveira Marques,Luiza Maria da Silveira Marques,NA,NA
senado,Masculino,2979,Manoel Lutterbach Nunes,Lutterbach Nunes,NA,NA
senado,Feminino,158,Luzia Alves Toledo,Luzia Toledo,NA,NA
senado,Masculino,56,Luís Alberto Martins de Oliveira,Luís Alberto de Oliveira,NA,NA
senado,Masculino,2970,Luís Sebastião Guedes Alcoforado,Luís Guedes,NA,NA
senado,Masculino,5058,Luís Guilherme Gomes Mussi,Luís Guilherme Gomes Mussi,MDB,NA
senado,Masculino,2008,Lázaro Ferreira Barbosa,Lázaro Barbosa,NA,NA
senado,Feminino,4575,Lídice da Mata e Souza,Lídice da Mata,PSB,NA
senado,Feminino,643,Lúcia Vânia Abrão,Lúcia Vânia,PSB,NA
senado,Masculino,57,Lúcio Gonçalo de Alcântara,Lúcio Alcântara,PSDB,NA
senado,Masculino,1540,Carlos Alberto Lúcio Bittencourt,Lúcio Bittencourt,NA,NA
senado,Masculino,173,Lúcio Messan,Lúcio Messan,NA,NA
senado,Masculino,58,Lúdio Martins Coelho,Lúdio Coelho,PSDB,NA
senado,Masculino,5904,José Eugênio de Leão Braga,Macapá,NA,NA
senado,Masculino,1856,Joaquim de Magalhães Cardoso Barata,Magalhães Barata,NA,NA
senado,Masculino,1911,José de Magalhães Pinto,Magalhães Pinto,NA,NA
senado,Masculino,1552,Carlos Magno Duque Bacelar,Magno Bacelar,NA,NA
senado,Masculino,631,Magno Pereira Malta,Magno Malta,PL,NA
senado,Masculino,302,Luiz Alberto Maguito Vilela,Maguito Vilela,MDB,NA
senado,Feminino,5557,Mailza Assis da Silva,Mailza Gomes,PP,AC
senado,Masculino,5981,Ildomario Santos Gomes,Major Ildomario,NA,NA
senado,Masculino,5666,Sergio Olimpio Gomes,Major Olimpio,PSL,SP
senado,Masculino,4951,Manoel Angelo Chagas,Manoel Angelo Chagas,MDB,NA
senado,Masculino,2981,Manoel da Silva Dias,Manoel Dias,NA,NA
senado,Masculino,160,Manoel Lira Parente,Manoel Lira Parente,NA,NA
senado,Masculino,5591,Manoel Francisco de Vasconcelos Motta,Manoel Motta,PCB,NA
senado,Masculino,169,Manoel Torres de Araújo,Manoel Torres de Araújo,NA,NA
