data_hora,descricao_situacao,descricao_tramitacao,despacho,id_prop,id_situacao,id_tipo_tramitacao,regime,sequencia,sigla_orgao,uri_orgao,url,evento,local,casa,situacao_comissao
2017-10-18T10:30:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",60,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-10-31T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por falta de quórum.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",61,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-11-08T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",62,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-11-22T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do Relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",63,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2017-11-29T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",64,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-12-06T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",65,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2017-12-12T00:00:00Z,Aguardando Parecer,Notificações,Correspondência recebida da PGR.,2056568,915,1005,"Ordinária (Art. 151, III, RICD)",66,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1631791,NA,CFT,Comissões,Discussão e votação
2017-12-13T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o início da Ordem do Dia do Congresso Nacional. ,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",67,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2018-04-11T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do Relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",69,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-04-18T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do Relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",71,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-04-25T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do Relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",71,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-05-09T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do Relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",72,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-05-16T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da aprovação de requerimento dos Deputados Alessandro Molon e Enio Verri.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",73,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-05-23T10:00:00Z,Aguardando Parecer,Retirada de Pauta,Retirado de pauta em virtude da ausência do Relator.,2056568,915,250,"Ordinária (Art. 151, III, RICD)",74,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-06-06T10:00:00Z,Aguardando Parecer,Adiamento de Discussão,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,221,"Ordinária (Art. 151, III, RICD)",75,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2018-06-13T10:00:00Z,Aguardando Parecer,Retirada de Pauta,"Retirado de pauta em virtude da aprovação de requerimento dos Deputados Alessandro Molon, Fausto Pinato e Esperdidião Amin.",2056568,915,250,"Ordinária (Art. 151, III, RICD)",76,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,retirada_de_pauta,CFT,Comissões,Discussão e votação
2018-06-13T10:45:00Z,Aguardando Parecer,Designação de Relator,"Designado Relator, Dep. Alessandro Molon (PSB-RJ)",2056568,915,320,"Ordinária (Art. 151, III, RICD)",77,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,designado_relator,CFT,Comissões,Análise do relator
