id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,votos_validos,num_seguiu,disciplina,bancada_suficiente
5236,25236,SPARTIDO,PODEMOS,senado,8,0,0,NA
5322,25322,PODEMOS,PODEMOS,senado,63,53,0.8412698412698413,TRUE
5350,25350,PL,PL,senado,75,57,0.76,TRUE
5352,25352,PT,PT,senado,72,72,1,TRUE
5376,25376,PSDB,PSDB,senado,42,32,0.7619047619047619,TRUE
5385,25385,PSD,PSD,senado,50,40,0.8,TRUE
5411,25411,PDT,PDT,senado,64,51,0.796875,TRUE
5422,25422,DEM,DEM,senado,60,57,0.95,TRUE
5502,25502,PSDB,PSDB,senado,70,53,0.7571428571428571,TRUE
5523,25523,PSD,PSD,senado,67,53,0.7910447761194029,TRUE
5525,25525,PSD,PSD,senado,66,60,0.9090909090909091,TRUE
5527,25527,MDB,MDB,senado,68,62,0.9117647058823529,TRUE
5529,25529,PSD,PSD,senado,49,45,0.9183673469387755,TRUE
5529,25529,PSDB,PSD,senado,18,18,1,NA
5531,25531,PODEMOS,PP,senado,59,38,0.6440677966101694,NA
5531,25531,PP,PP,senado,18,15,0.8333333333333334,TRUE
5533,25533,PODEMOS,PODEMOS,senado,73,61,0.8356164383561644,TRUE
5535,25535,PROS,PROS,senado,60,44,0.7333333333333333,TRUE
5537,25537,MDB,MDB,senado,69,49,0.7101449275362319,TRUE
5540,25540,MDB,MDB,senado,76,61,0.8026315789473685,TRUE
5666,25666,PSL,PSL,senado,61,61,1,FALSE
5718,25718,CIDADANIA,CIDADANIA,senado,58,48,0.8275862068965517,TRUE
5732,25732,DEM,DEM,senado,61,54,0.8852459016393442,TRUE
5748,25748,MDB,MDB,senado,12,6,0.5,TRUE
5748,25748,PSB,MDB,senado,52,35,0.6730769230769231,NA
5783,25783,PROS,PROS,senado,74,38,0.5135135135135135,TRUE
5894,25894,PSL,REPUBLICANOS,senado,16,15,0.9375,NA
5894,25894,REPUBLICANOS,REPUBLICANOS,senado,49,31,0.6326530612244898,FALSE
5894,25894,SPARTIDO,REPUBLICANOS,senado,1,0,0,NA
