legislatura,id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar
53,73461,173461,camara,Íris Simões,M,PR,PR,Suplente,0,1
53,159264,1159264,camara,Itamar Rocha,M,PMDB,RN,Suplente,0,1
53,73531,173531,camara,Ivan Valente,M,PSOL,SP,Titular,1,1
53,4931,14931,camara,Izalci Lucas,M,PSDB,DF,Titular,0,1
53,77701,177701,camara,Jackson Barreto,M,PMDB,SE,Titular,0,1
53,73929,173929,camara,Jader Barbalho,M,PMDB,PA,Titular,0,1
53,74665,174665,camara,Jaime Martins,M,PROS,MG,Titular,0,1
53,74847,174847,camara,Jair Bolsonaro,M,PSL,RJ,Titular,0,1
53,3151,13151,camara,Jairo Ataíde,M,DEM,MG,Efetivado,0,1
53,74547,174547,camara,Jairo Carneiro,M,PP**,BA,Suplente,0,1
53,74272,174272,camara,Jamil Murad,M,PCdoB,SP,Suplente,0,1
53,73926,173926,camara,Janete Capiberibe,F,PSB,AP,Titular,0,1
53,141455,1141455,camara,Janete Rocha Pietá,F,PT,SP,Titular,0,1
53,74273,174273,camara,Jefferson Campos,M,PSB,SP,Titular,1,1
53,74528,174528,camara,Jerônimo Reis,M,DEM,SE,Titular,0,1
53,141456,1141456,camara,Jilmar Tatto,M,PT,SP,Titular,0,1
53,141503,1141503,camara,Jô Moraes,F,PCdoB,MG,Titular,0,1
53,74549,174549,camara,João Almeida,M,PSDB,BA,Titular,0,1
53,160317,1160317,camara,João Batista,M,PMDB,RO,Efetivado,0,1
53,141457,1141457,camara,João Bittar,M,DEM,MG,Efetivado,0,1
53,74366,174366,camara,João Campos,M,REPUBLICANOS,GO,Titular,1,1
53,141458,1141458,camara,João Carlos Bacelar,M,PL,BA,Titular,1,1
53,73682,173682,camara,João Dado,M,SD,SP,Titular,0,1
53,74781,174781,camara,João Herrmann,M,PDT,SP,Efetivado,0,1
53,74550,174550,camara,João Leão,M,PP**,BA,Titular,0,1
53,74120,174120,camara,João Magalhães,M,PMDB,MG,Titular,0,1
53,141459,1141459,camara,João Maia,M,PL,RN,Titular,1,1
53,73873,173873,camara,João Matos,M,PMDB,SC,Titular,0,1
53,141460,1141460,camara,João Oliveira,M,DEM,TO,Titular,0,1
53,73534,173534,camara,João Paulo Cunha,M,PT,SP,Titular,0,1
53,73874,173874,camara,João Pizzolatti,M,PP**,SC,Titular,0,1
53,141461,1141461,camara,Joaquim Beltrão,M,PMDB,AL,Titular,0,1
53,73658,173658,camara,Jofran Frejat,M,PR,DF,Titular,0,1
53,74563,174563,camara,Jorge Alberto,M,PMDB,SE,Efetivado,0,1
53,74686,174686,camara,Jorge Bittar,M,PT,RJ,Titular,0,1
53,74388,174388,camara,Jorge Boeira,M,PP,SC,Titular,0,1
53,74552,174552,camara,Jorge Khoury,M,DEM,BA,Titular,0,1
53,73535,173535,camara,Jorge Tadeu Mudalen,M,DEM,SP,Titular,0,1
53,4927,14927,camara,Jorginho Maluly,M,DEM,SP,Efetivado,0,1
53,141464,1141464,camara,José Airton Félix Cirilo,M,PT,CE,Titular,1,1
53,73536,173536,camara,José Aníbal,M,PSDB,SP,Titular,0,1
53,154739,1154739,camara,José C. Stangarlini,M,PSDB,SP,Suplente,0,1
53,74553,174553,camara,José Carlos Aleluia,M,DEM,BA,Titular,0,1
53,74140,174140,camara,José Carlos Araújo,M,PR,BA,Titular,0,1
53,74055,174055,camara,José Carlos Machado,M,DEM,SE,Titular,0,1
53,73875,173875,camara,José Carlos Vieira,M,PSD,SC,Suplente,0,1
53,74423,174423,camara,José Chaves,M,PTB,PE,Titular,0,1
53,151249,1151249,camara,José Edmar,M,PR,DF,Suplente,0,1
53,74274,174274,camara,José Eduardo Cardozo,M,PT,SP,Titular,0,1
53,141466,1141466,camara,José Fernando Aparecido De Oliveira,M,PV,MG,Titular,0,1
53,73540,173540,camara,José Genoíno,M,PT,SP,Suplente,0,1
53,141470,1141470,camara,José Guimarães,M,PT,CE,Titular,1,1
53,160396,1160396,camara,José Humberto,M,PSD,MG,Titular,0,1
53,74297,174297,camara,José Linhares,M,PP**,CE,Titular,0,1
53,151965,1151965,camara,Maia Filho,M,PP,PI,Suplente,0,1
53,74425,174425,camara,José Mendonça Bezerra,M,DEM,PE,Titular,0,1
53,74275,174275,camara,José Mentor,M,PT,SP,Titular,0,1
53,74426,174426,camara,José Múcio Monteiro,M,PTB,PE,Titular,0,1
53,74395,174395,camara,José Otávio Germano,M,PP,RS,Titular,0,1
53,141471,1141471,camara,José Paulo Tóffano,M,PV,SP,Titular,0,1
53,74298,174298,camara,José Pimentel,M,PT,CE,Titular,0,1
53,71921,171921,camara,José Roberto Dudé,M,PT,ES,Suplente,0,1
53,74554,174554,camara,José Rocha,M,PL,BA,Titular,1,1
53,74741,174741,camara,José Santana De Vasconcellos,M,PR,MG,Titular,0,1
53,4929,14929,camara,Joseph Bandeira,M,PSB,BA,Efetivado,0,1
53,73666,173666,camara,Jovair Arantes,M,PTB,GO,Titular,0,1
53,141474,1141474,camara,Julião Amin,M,PDT,MA,Titular,0,1
53,74317,174317,camara,Júlio Cesar,M,PSD,PI,Titular,1,1
53,73586,173586,camara,Júlio Delgado,M,PSB,MG,Titular,1,1
53,73994,173994,camara,Júlio Redecker,M,PSDB,RS,Titular,0,1
53,74783,174783,camara,Julio Semeghini,M,PSDB,SP,Titular,0,1
53,159058,1159058,camara,Junior Marzola,M,DEM,TO,Efetivado,0,1
53,74346,174346,camara,Jurandil Juarez,M,PMDB,AP,Titular,0,1
53,141475,1141475,camara,Jurandy Loureiro,M,PSC,ES,Titular,0,1
53,141476,1141476,camara,Jusmari Oliveira,F,PR,BA,Titular,0,1
53,74570,174570,camara,Jutahy Junior,M,PSDB,BA,Titular,0,1
53,141477,1141477,camara,Juvenil,M,PRTB,MG,Titular,0,1
53,74742,174742,camara,Lael Varella,M,DEM,MG,Titular,0,1
53,151208,1151208,camara,Laercio Oliveira,M,PP,SE,Titular,1,1
53,141478,1141478,camara,Laerte Bessa,M,PR,DF,Titular,0,1
53,141479,1141479,camara,Laurez Moreira,M,PSB,TO,Titular,0,1
