id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,autor_nome,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura,palavras_chave
518221,PEC,76,"Acrescenta inciso ao art. 60 do Ato das Disposições Constitucionais Transitórias, referente à destinação de recursos da União para implantação do piso salarial profissional nacional do magistério público da educação básica.  ",2011-08-31T16:17:00Z,camara,Andre Moura,Piso salarial do magistério público da educação básica - Moura,Educação,Especial,Plenário,Dep. Rubens Pereira Júnior (PCdoB-MA),0.01,NA
532814,PL,3020,"Altera o caput do art. 4º da Lei nº 11.738, de 16 de julho de 2008, que Regulamenta a alínea ""e"" do inciso III do caput do art. 60 do Ato das Disposições Constitucionais Transitórias, para instituir o piso salarial profissional nacional para os profissionais do magistério público da educação básica, a fim de viabilizar que Estados e Municípios não beneficiados pela complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB possam receber complementação da União para integralização do piso salarial profissional nacional para os profissionais do magistério público da educação básica. ",2011-12-19T18:31:00Z,camara,Nelson Marchezan Junior,Piso salarial do magistério público da educação básica - Marchezan,Educação,Ordinária,Plenário,Dep. Paulo Abi-Ackel (PSDB-MG),3.61,NA
120143,PEC,28,Altera o art. 208 da Constituição Federal para garantir a progressiva universalização da educação básica em tempo integral.,2015-03-18T00:00:00Z,senado,Walter Pinheiro PSDB / SE,Educação básica em tempo integral,Educação,Ordinária,Plenário,Relator não encontrado,1.06,NA
500183,PEC,18,"Dá nova redação ao inciso XXXIII do art. 7º da Constituição Federal, para autorizar o trabalho sob o regime de tempo parcial a partir dos quatorze anos de idade. ",2011-05-03T15:20:00Z,camara,Dilceu Sperafico,Autoriza trabalho a partir dos quatorze anos,Direitos Humanos,Especial,Plenário,Dep. Betinho Gomes (PSDB-PE),6.72,NA
106330,PEC,33,"Altera a redação dos arts. 129 e 228 da Constituição Federal, acrescentando um parágrafo único para prever a possibilidade de desconsideração da inimputabilidade penal de maiores de dezesseis  anos e menores de dezoito anos por lei complementar.",2012-07-03T00:00:00Z,senado,Zeze Perrella PSDB / SP,Redução da maioridade penal,Direitos Humanos,Ordinária,Plenário,Ricardo Ferraço,1.06,NA
546383,PL,3974,"Dá nova redação ao art. 406 da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para conferir à Justiça do Trabalho a competência para autorizar o menor a desenvolver trabalho artístico.  ",2012-05-30T14:58:00Z,camara,Manoel Junior,Trabalho infantil artístico,Direitos Humanos,Ordinária,Conclusiva,Dep. Benedita da Silva (PT-RJ),0,NA
120768,PLS,231,"Altera o art. 60 do Estatuto da Criança e do Adolescente para dispor sobre a participação artística, desportiva e afim.",2015-04-16T00:00:00Z,senado,Valdir Raupp MDB / RO,Trabalho infantil artístico e despostivo,Direitos Humanos,Ordinária,Plenário,Marta Suplicy,3.02,NA
1594911,PL,2517,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), a Lei nº 11.343, de 23 de agosto de 2006 (Lei de Drogas), a Lei nº 12.462, de 4 de agosto de 2011, a Lei nº 12.594, de 18 de janeiro de 2012, que 'institui o Sistema Nacional de Atendimento Socioeducativo (Sinase)', e a Lei nº 12.850, de 2 de agosto de 2013 (Lei de Organização Criminosa)"". ",2015-08-05T11:01:00Z,camara,Senado Federal - José Serra,Aumento do tempo de internação,Direitos Humanos,Prioridade,Plenário,Relator não encontrado,0.71,NA
121572,PLS,333,"Altera o Decreto-Lei nº 2.848 de 7 de dezembro de 1940 (Código Penal) e as Leis nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), e 12.594, de 18 de janeiro de 2012 (SINASE).",2015-06-02T00:00:00Z,senado,José Serra PSDB / SP,Aumento do tempo de internação,Direitos Humanos,Ordinária,Plenário,José Pimentel,0,NA
604888,PL,7005,"Acrescenta os §§ 3º e 4º na Lei nº 9.709, de 18 de novembro de 1998, para estabelecer a possibilidade de subscrição eletrônica para apresentação de projeto de lei de iniciativa popular. ",2013-12-18T15:55:00Z,camara,Senado Federal - Serys Slhessarenko,PL 7005/2013,Integridade e Transparência,Urgência,Plenário,Dep. Luiz Couto (PT-PB),0,NA
96813,PLS,129,"Altera a Lei nº 9.709, de 18 de novembro de 1998, para estabelecer a possibilidade de subscrição eletrônica para apresentação de projeto de lei de iniciativa popular.",2010-05-11T00:00:00Z,senado,Serys Slhessarenko PT / MT,PL 7005/2013,Integridade e Transparência,Ordinária,Plenário,Sérgio Petecão,0,NA
2192459,PEC,6,"Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências. ",2019-02-20T10:37:00Z,camara,Poder Executivo,Reforma da Previdência Bolsonaro,Agenda Governo,Especial,Plenário,Relator não encontrado,15.5,NA
