id_autor,nome,cod_tipo,tipo,uri,id_documento,casa,email,forma_de_tratamento,indicador_outros_autores,nome_autor,nome_completo,num_ordem_autor,sexo,sigla_partido,sigla_tipo_autor,uf_autor,uf_parlamentar,url_foto,url_pagina
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201899,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201900,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201901,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201902,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201903,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201904,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201905,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201906,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201907,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201908,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201909,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201910,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201911,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201913,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201914,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201915,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201916,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
