id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura
2192354,PLP,38,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, e a Lei nº 4.737, de 15 de julho de 1965 - Código Eleitoral, para estabelecer regras de competência da Justiça Comum e da Justiça Eleitoral. Estabelece limites entre as instâncias para julgamentos nas esferas dos crimes comuns e dos crimes eleitorais.",2019-02-19T15:51:00Z,camara,camara,Poder Executivo,NA,NA,Pacote Moro Anticorrupção,Agenda Nacional,Prioridade,Plenário,Dep. Bia Kicis (PSL-DF),5.51
131906,PLS,495,"Altera a Lei nº 9.433, de 8 de janeiro de 1997, para introduzir os mercados de água como instrumento destinado a promover alocação mais eficiente dos recursos hídricos.",2017-12-12T00:00:00Z,senado,senado,Tasso Jereissati PSDB / CE,NA,NA,Mercado da água,Meio Ambiente,Ordinária,Plenário,Elmano Férrer,1.64
120152,PEC,29,"Altera a Constituição Federal para acrescentar no art. 5º, a explicitação inequívoca “da inviolabilidade do direito à vida, desde a concepção.",2015-03-18T00:00:00Z,senado,senado,Walter Pinheiro PL / ES,NA,NA,PEC Antiaborto,Direitos Humanos,Ordinária,Plenário,Juíza Selma,1.94
135061,MPV,868,"Atualiza o marco legal do saneamento básico e altera a Lei nº 9.984, de 17 de julho de 2000, para atribuir à Agência Nacional de Águas competência para editar normas de referência nacionais sobre o serviço de saneamento; a Lei nº 10.768, de 19 de novembro de 2003, para alterar as atribuições do cargo de Especialista em Recursos Hídricos; a Lei nº 11.445, de 5 de janeiro de 2007, para aprimorar as condições
      estruturais do saneamento básico no País; e a Lei nº 13.529, de 4 de dezembro de 2017, para autorizar a União a participar de fundo com a finalidade exclusiva de financiar serviços técnicos especializados.",2018-12-28T00:00:00Z,senado,camara,Presidência da República  ,NA,NA,Altera o marco legal do saneamento básico,Agenda Nacional;Meio Ambiente,Urgência,Plenário,Tasso Jereissati,6.74
353631,PL,1202,"Disciplina a atividade de  ""lobby"" e a atuação dos grupos de pressão ou de interesse e assemelhados no âmbito dos órgãos e entidades da Administração Pública Federal, e dá outras providências. Define normas para a atividade de lobista.",2007-05-30T16:45:00Z,camara,camara,CARLOS ZARATTINI,SP,PT,Disciplina a atividade de lobby,Integridade e Transparência,Urgência,Plenário,Dep. Cristiane Brasil (PTB -RJ),3.03
2178170,PL,10372,"Introduz modificações na legislação penal e processual penal para aperfeiçoar o combate ao crime organizado, aos delitos de tráfico de drogas, tráfico de armas e milícia privada, aos crimes cometidos com violência ou grave ameaça e crimes hediondos, bem como para agilizar e modernizar a investigação criminal e a persecução penal. Altera os Decretos-lei nº 3.689, de 1941; 2.848, de 1940 e as Leis nº 8.038, de 1990; 12.850, de 2013; 12.694, de 2012; 8.072, de 1990; 12.826, de 2003; 7.210, de 1984  e 10.201, de 2001.",2018-06-06T20:16:00Z,camara,camara,CELSO RUSSOMANNO+WLADIMIR COSTA+JOSÉ ROCHA+RODRIGO GARCIA+DOMINGOS NETO+MARCELO ARO+LUIS TIBÉ+AUREO RIBEIRO+NILSON LEITÃO+RICARDO TEOBALDO+BALEIA ROSSI,SP+PA+BA+SP+CE+MG+MG+RJ+MT+PE+SP,PRB+SOLIDARIEDADE+PL+DEM+PSD+PP+AVANTE+SOLIDARIEDADE+PSDB+PODE+MDB,Pacote Moro Crime Organizado (Principal),Agenda Nacional,Prioridade,Plenário,Relator não encontrado,2.37
135060,MPV,867,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.",2018-12-27T00:00:00Z,senado,camara,Presidência da República  ,NA,NA,Programa de Regularização Ambiental,Agenda Nacional;Meio Ambiente,Urgência,Plenário,Chico Rodrigues,8.59
604557,PL,6969,"Institui a Política Nacional para a Conservação e o Uso Sustentável do Bioma Marinho Brasileiro (PNCMar) e dá outras providências. Altera a Lei nº 9.605, de 1998 e a Lei nº 7.661, de 1988.",2013-12-17T12:13:00Z,camara,camara,SARNEY FILHO+ALESSANDRO MOLON,MA+RJ,PV+PSB,PNCMar,Meio Ambiente,Urgência,Plenário,Dep. Túlio Gadêlha (PDT-PE),2.87
136033,PL,1864,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, a Lei nº 7.210, de 11 de julho de 1984 - Lei de Execução Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 8.429, de 2 de junho de 1992, a Lei nº 9.296, de 24 de julho de 1996, a Lei nº 9.613, de 3 de março de 1998, a Lei nº 10.826, de 22 de dezembro de 2003, a Lei nº 11.343, de 23 de agosto de 2006, a Lei nº 11.671, de 8 de maio de 2008, a Lei nº 12.037, de 1º de outubro de 2009, a Lei nº 12.850, de 2 de agosto de 2013, e a Lei nº 13.608, de 10 de janeiro de 2018, para estabelecer medidas contra a corrupção, o crime organizado e os crimes praticados com grave violência a pessoa.",2019-03-28T00:00:00Z,senado,senado,Lasier Martins CIDADANIA / MA,NA,NA,Pacote Moro - Crime Organizado,Agenda Nacional,Ordinária,Plenário,Marcos do Val,6.81
2193540,PL,1321,"Altera a Lei nº 9.096, de 19 de setembro de 1995, que dispõe sobre partidos políticos, regulamenta os arts. 17 e 14, § 3º, inciso V, da Constituição Federal, a fim de dispor sobre a autonomia dos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios.

NOVA EMENTA: Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios; e dá outras providências. ",2019-03-12T15:52:00Z,camara,camara,ELMAR NASCIMENTO,BA,DEM,Anistia Tributária para Partidos,Integridade e Transparência,Urgência,Plenário,Dep. Paulo Pereira da Silva (SOLIDARI-SP),10.6
136173,PL,1321,"Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios; e dá outras providências.",2019-04-04T00:00:00Z,senado,camara,Câmara dos Deputados  ,NA,NA,Anistia Tributária para Partidos,Integridade e Transparência,Ordinária,Plenário,Marcos Rogério,6.56
135799,PL,1551,"Revoga o Capítulo IV – Da Reserva Legal, da Lei Nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, para garantir o direito constitucional de propriedade.",2019-03-19T00:00:00Z,senado,senado,Marcio Bittar MDB / AC,NA,NA,Fim da Reserva Legal,Meio Ambiente,Ordinária,Plenário,Fabiano Contarato,1.42
