,comparacao,distancia
217,2204580_2192459_emenda_na_comissao_jus.txt_295,0.0
218,2204580_2192459_emenda_na_comissao_jus.txt_296,0.0
219,2204580_2192459_emenda_na_comissao_jus.txt_302,0.0
220,2204580_2192459_emenda_na_comissao_jus.txt_303,0.0
221,2204580_2192459_emenda_na_comissao_jus.txt_304,0.0
222,2204580_2192459_emenda_na_comissao_jus.txt_308,0.0
223,2204580_2192459_emenda_na_comissao_jus.txt_309,0.0
224,2204580_2192459_emenda_na_comissao_jus.txt_310,0.0
225,2204580_2192459_emenda_na_comissao_jus.txt_313,0.0
226,2204580_2192459_emenda_na_comissao_jus.txt_314,0.0
227,2204580_2192459_emenda_na_comissao_jus.txt_315,0.0
228,2204580_2192459_emenda_na_comissao_jus.txt_316,0.0
229,2204580_2192459_emenda_na_comissao_jus.txt_317,0.0
230,2204580_2192459_emenda_na_comissao_jus.txt_318,0.0
231,2204580_2192459_emenda_na_comissao_jus.txt_321,0.0
232,2204580_2192459_emenda_na_comissao_jus.txt_322,0.0
233,2204580_2192459_emenda_na_comissao_jus.txt_325,0.0
234,2204580_2192459_emenda_na_comissao_jus.txt_326,0.0
235,2204580_2192459_emenda_na_comissao_jus.txt_327,0.0
236,2204580_2192459_emenda_na_comissao_jus.txt_328,0.0
237,2204580_2192459_emenda_na_comissao_jus.txt_329,0.0
238,2204580_2192459_emenda_na_comissao_jus.txt_330,0.0
239,2204580_2192459_emenda_na_comissao_jus.txt_333,0.0
240,2204580_2192459_emenda_na_comissao_jus.txt_334,0.0
241,2204580_2192459_emenda_na_comissao_jus.txt_335,0.0
242,2204580_2192459_emenda_na_comissao_jus.txt_336,0.0
243,2204580_2192459_emenda_na_comissao_jus.txt_338,0.0
244,2204580_2192459_emenda_na_comissao_jus.txt_339,0.0
245,2204580_2192459_emenda_na_comissao_jus.txt_340,0.0
246,2204580_2192459_emenda_na_comissao_jus.txt_341,0.0
247,2204580_2192459_emenda_na_comissao_jus.txt_344,0.0
248,2204580_2192459_emenda_na_comissao_jus.txt_345,0.0
249,2204580_2192459_emenda_na_comissao_jus.txt_346,0.0
250,2204580_2192459_emenda_na_comissao_jus.txt_347,0.0
251,2204580_2192459_emenda_na_comissao_jus.txt_348,0.0
252,2204580_2192459_emenda_na_comissao_jus.txt_349,0.0
253,2204580_2192459_emenda_na_comissao_jus.txt_350,0.0
254,2204580_2192459_emenda_na_comissao_jus.txt_352,0.0
255,2204580_2192459_emenda_na_comissao_jus.txt_353,0.0
256,2204580_2192459_emenda_na_comissao_jus.txt_354,0.0
257,2204580_2192459_emenda_na_comissao_jus.txt_355,0.0
258,2204580_2192459_emenda_na_comissao_jus.txt_358,0.0
259,2204580_2192459_emenda_na_comissao_jus.txt_359,0.0
260,2204580_2192459_emenda_na_comissao_jus.txt_360,0.0
261,2204580_2192459_emenda_na_comissao_jus.txt_362,0.0
262,2204580_2192459_emenda_na_comissao_jus.txt_363,0.0
263,2204580_2192459_emenda_na_comissao_jus.txt_364,0.0
264,2204580_2192459_emenda_na_comissao_jus.txt_365,0.0
265,2204580_2192459_emenda_na_comissao_jus.txt_366,0.0
266,2204580_2192459_emenda_na_comissao_jus.txt_367,0.0
267,2204580_2192459_emenda_na_comissao_jus.txt_368,0.0
268,2204580_2192459_emenda_na_comissao_jus.txt_369,0.0
269,2204580_2192459_emenda_na_comissao_jus.txt_370,0.0
270,2204580_2192459_emenda_na_comissao_jus.txt_372,0.0
271,2204580_2192459_emenda_na_comissao_jus.txt_373,0.0
272,2204580_2192459_emenda_na_comissao_jus.txt_375,0.0
273,2204580_2192459_emenda_na_comissao_jus.txt_379,0.0
274,2204580_2192459_emenda_na_comissao_jus.txt_381,0.0
275,2204580_2192459_emenda_na_comissao_jus.txt_383,0.0
276,2204580_2192459_emenda_na_comissao_jus.txt_384,0.0
277,2204580_2192459_emenda_na_comissao_jus.txt_385,nan
278,2204580_2192459_emenda_na_comissao_jus.txt_386,0.0
279,2204580_2192459_emenda_na_comissao_jus.txt_387,0.0
280,2204580_2192459_emenda_na_comissao_jus.txt_389,0.0
281,2204580_2192459_emenda_na_comissao_jus.txt_390,0.0
282,2204580_2192459_emenda_na_comissao_jus.txt_391,0.0
283,2204580_2192459_emenda_na_comissao_jus.txt_393,0.0
284,2204580_2192459_emenda_na_comissao_jus.txt_394,0.0
285,2204580_2192459_emenda_na_comissao_jus.txt_396,0.0
286,2204580_2192459_emenda_na_comissao_jus.txt_397,0.0
287,2204580_2192459_emenda_na_comissao_jus.txt_398,0.0
288,2204580_2192459_emenda_na_comissao_jus.txt_399,0.0
289,2204580_2192459_emenda_na_comissao_jus.txt_400,0.0
290,2204580_2192459_emenda_na_comissao_jus.txt_401,0.0
291,2204580_2192459_emenda_na_comissao_jus.txt_403,0.0
292,2204580_2192459_emenda_na_comissao_jus.txt_404,0.0
293,2204580_2192459_emenda_na_comissao_jus.txt_405,0.0
294,2204580_2192459_emenda_na_comissao_jus.txt_406,0.0
295,2204580_2192459_emenda_na_comissao_jus.txt_409,0.0
296,2204580_2192459_emenda_na_comissao_jus.txt_410,0.0
297,2204580_2192459_emenda_na_comissao_jus.txt_412,0.0
298,2204580_2192459_emenda_na_comissao_jus.txt_414,0.0
299,2204580_2192459_emenda_na_comissao_jus.txt_415,nan
300,2204580_2192459_emenda_na_comissao_jus.txt_416,0.0
301,2204580_2192459_emenda_na_comissao_jus.txt_418,0.0
302,2204580_2192459_emenda_na_comissao_jus.txt_419,0.0
303,2204580_2192459_emenda_na_comissao_jus.txt_421,0.0
304,2204580_2192459_emenda_na_comissao_jus.txt_422,0.0
305,2204580_2192459_emenda_na_comissao_jus.txt_423,0.0
306,2204580_2192459_emenda_na_comissao_jus.txt_424,0.0
307,2204580_2192459_emenda_na_comissao_jus.txt_426,0.0
308,2204580_2192459_emenda_na_comissao_jus.txt_427,0.0
309,2204580_2192459_emenda_na_comissao_jus.txt_428,0.0
310,2204580_2192459_emenda_na_comissao_jus.txt_429,0.0
311,2204580_2192459_emenda_na_comissao_jus.txt_430,0.0
312,2204580_2192459_emenda_na_comissao_jus.txt_431,0.0
313,2204580_2192459_emenda_na_comissao_jus.txt_432,0.0
314,2204580_2192459_emenda_na_comissao_jus.txt_433,0.0
315,2204580_2192459_emenda_na_comissao_jus.txt_434,0.0
316,2204580_2192459_emenda_na_comissao_jus.txt_436,0.0
317,2204580_2192459_emenda_na_comissao_jus.txt_437,0.0
318,2204580_2192459_emenda_na_comissao_jus.txt_438,0.0
319,2204580_2192459_emenda_na_comissao_jus.txt_439,0.0
320,2204580_2192459_emenda_na_comissao_jus.txt_440,0.0
321,2204580_2192459_emenda_na_comissao_jus.txt_441,0.0
322,2204580_2192459_emenda_na_comissao_jus.txt_443,0.0
323,2204580_2192459_emenda_na_comissao_jus.txt_444,0.0
324,2204580_2192459_emenda_na_comissao_jus.txt_445,0.0
325,2204580_2192459_emenda_na_comissao_jus.txt_448,0.0
326,2204580_2192459_emenda_na_comissao_jus.txt_449,0.0
327,2204580_2192459_emenda_na_comissao_jus.txt_450,0.0
328,2204580_2192459_emenda_na_comissao_jus.txt_451,0.0
329,2204580_2192459_emenda_na_comissao_jus.txt_452,0.0
330,2204580_2192459_emenda_na_comissao_jus.txt_453,0.0
331,2204580_2192459_emenda_na_comissao_jus.txt_454,0.0
332,2204580_2192459_emenda_na_comissao_jus.txt_457,0.0
333,2204580_2192459_emenda_na_comissao_jus.txt_458,0.0
